Itemid,SeoText,ManufacturerID,ManufacturerName,ProductName,Description,Invoice,Feature,Images,Popularity
1227541,3M-Healthcare-US-Opco-LLC-TCH502,TCH502,3M Healthcare US Opco LLC,"DRESSING, ADAPTIC TOUCH N/ADH SIL 7.6CMX11CM (10/CT 5CT/CS)",Wound Contact Layer Dressing 3M™ Adaptic™ Touch 3 X 4-1/4 Inch Sterile,"DRESSING, ADAPTIC TOUCH N/ADH SIL 7.6CMX11CM (10/CT 5CT/CS)",,,126
702178,3M-Healthcare-US-Opco-LLC-650220,650220,3M Healthcare US Opco LLC,"DRESSING, ACTISORB SLVR 2.5""X3.75"" (10/BX 5BX/CS)     SYSTGX",Silver Charcoal Dressing 3M™ Actisorb™ Silver 220 2-1/2 X 3-3/4 Inch Rectangle Sterile,"DRESSING, ACTISORB SLVR 2.5""X3.75"" (10/BX 5BX/CS)     SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/SYSTGX_702178.jpg,17
702437,3M-Healthcare-US-Opco-LLC-190220,190220,3M Healthcare US Opco LLC,"DRESSING, ACTISORB SLVR 4 1/8X7.5"" (10/BX 5BX/CS)(    SYSTGX",Silver Charcoal Dressing 3M™ Actisorb™ Silver 220 4-1/8 X 7-1/2 Inch Rectangle Sterile,"DRESSING, ACTISORB SLVR 4 1/8X7.5"" (10/BX 5BX/CS)(    SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/SYSTGX_702437.jpg,1
1241835,3M-Healthcare-US-Opco-LLC-TCH504,TCH504,3M Healthcare US Opco LLC,"DRESSING, ADAPTIC TOUCH N/ADH SIL 12.7CMX15CM (5/CT 10CT/CS)",Wound Contact Layer Dressing 3M™ Adaptic™ Touch 8 X 12-3/4 Inch Sterile,"DRESSING, ADAPTIC TOUCH N/ADH SIL 12.7CMX15CM (5/CT 10CT/CS)",,,1
1225676,3M-Healthcare-US-Opco-LLC-TCH501,TCH501,3M Healthcare US Opco LLC,"DRESSING, ADAPTIC TOUCH N/ADH SIL 7.6CMX5CM(10/CT 5CT/CS)",Impregnated Contact Layer Dressing 3M™ Adaptic Touch™ 2 X 3 Inch Sterile,"DRESSING, ADAPTIC TOUCH N/ADH SIL 7.6CMX5CM(10/CT 5CT/CS)",,,13
702439,3M-Healthcare-US-Opco-LLC-105220,105220,3M Healthcare US Opco LLC,"DRESSING, ACTISORB SLVR 4 1/8X4 1/8(10/BX 5BX/CS)(    SYSTGX",Silver Charcoal Dressing 3M™ Actisorb™ Silver 220 4-1/8 X 4-1/8 Inch Square Sterile,"DRESSING, ACTISORB SLVR 4 1/8X4 1/8(10/BX 5BX/CS)(    SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/SYSTGX_702439.jpg,3
1227568,3M-Healthcare-US-Opco-LLC-TCH503,TCH503,3M Healthcare US Opco LLC,"DRESSING, ADAPTIC TOUCH N/ADH SIL 12.7CMX15CM (10/CT 5CT/CS)",Wound Contact Layer Dressing 3M™ Adaptic™ Touch 5 X 6 Inch Sterile,"DRESSING, ADAPTIC TOUCH N/ADH SIL 12.7CMX15CM (10/CT 5CT/CS)",,,7
1189369,3M-Healthcare-US-Opco-LLC-MAD023U,MAD023U,3M Healthcare US Opco LLC,"DRESSING, ADAPTIC DIGIT NON-ADH FNGR LG 1 1/8"" (10/CT)",Impregnated Contact Layer Dressing 3M™ Adaptic™ Digit 1-1/8 Inch Diameter NonSterile,"DRESSING, ADAPTIC DIGIT NON-ADH FNGR LG 1 1/8"" (10/CT)",,,
368788,3M-Healthcare-US-Opco-LLC-2982,2982,3M Healthcare US Opco LLC,"DRESSING, FIBRACOL COLLAGEN 4""X4"" (12/BX)             SYSTGX",Collagen Dressing Fibracol™ Plus 4 X 4 Inch Square Sterile,"DRESSING, FIBRACOL COLLAGEN 4""X4"" (12/BX)             SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/368788_ppkgfront.jpg,345
1189346,3M-Healthcare-US-Opco-LLC-MAD062U,MAD062U,3M Healthcare US Opco LLC,"DRESSING, ADAPTIC DIGIT NON-ADH FNGR TOE 1 1/8"" (10/CT)",Impregnated Contact Layer Dressing 3M™ Adaptic™ Digit 1-1/8 Inch Diameter NonSterile,"DRESSING, ADAPTIC DIGIT NON-ADH FNGR TOE 1 1/8"" (10/CT)",,,1
4635,3M-Healthcare-US-Opco-LLC-2014,2014,3M Healthcare US Opco LLC,"DRESSING, ADAPTIC 3""X16"" (36/BX)                      SYSTGX",Oil Emulsion Impregnated Dressing 3M™ Adaptic™ Rectangle 3 X 16 Inch Sterile,"DRESSING, ADAPTIC 3""X16"" (36/BX)                      SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/4635_ppkgleft.jpg,389
200647,3M-Healthcare-US-Opco-LLC-2019,2019,3M Healthcare US Opco LLC,"DRESSING, ADAPTIC 5""X9"" (12/BX)                       SYSTGX",Oil Emulsion Impregnated Dressing 3M™ Adaptic™ Rectangle 5 X 9 Inch Sterile,"DRESSING, ADAPTIC 5""X9"" (12/BX)                       SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/200647_ppkgfront.jpg,871
4633,3M-Healthcare-US-Opco-LLC-2012,2012,3M Healthcare US Opco LLC,"DRESSING, ADAPTIC 3""X3"" (50/BX)                       SYSTGX",Oil Emulsion Impregnated Dressing 3M™ Adaptic™ Square 3 X 3 Inch Sterile,"DRESSING, ADAPTIC 3""X3"" (50/BX)                       SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/4633_ppkgfront.jpg,1719
702428,3M-Healthcare-US-Opco-LLC-800202,800202,3M Healthcare US Opco LLC,"DRESSING, SLVR ANTIMIC ALGISTR2X2 (10/BX) (SMS)      SYSTGX",Silver Alginate Dressing Silvercel™ Antimicrobial 2 X 2 Inch Square Sterile,"DRESSING, SLVR ANTIMIC ALGISTR2X2 (10/BX) (SMS)      SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/702428_front.jpg,59
684062,3M-Healthcare-US-Opco-LLC-2013,2013,3M Healthcare US Opco LLC,"DRESSING, ADAPTIC 3""X8"" (3/PK 36PK/BX 6BX/CS)         SYSTGX",Oil Emulsion Impregnated Dressing 3M™ Adaptic™ Rectangle 3 X 8 Inch Sterile,"DRESSING, ADAPTIC 3""X8"" (3/PK 36PK/BX 6BX/CS)         SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/684062_ppkgleft.jpg,134
1194599,3M-Healthcare-US-Opco-LLC-MAD013U,MAD013U,3M Healthcare US Opco LLC,"DRESSING, ADAPTIC DIGIT N/ADH FINGER MED 1"" (10/BX 17BX/CS)",Impregnated Contact Layer Dressing 3M™ Adaptic™ Digit 1.125 Inch Diameter NonSterile,"DRESSING, ADAPTIC DIGIT N/ADH FINGER MED 1"" (10/BX 17BX/CS)",,,
1189345,3M-Healthcare-US-Opco-LLC-MAD003U,MAD003U,3M Healthcare US Opco LLC,"DRESSING, ADAPTIC DIGIT NON-ADH FNGR SM 3/4"" (10/CT 17CT/CS)",Impregnated Contact Layer Dressing 3M™ Adaptic™ Digit 3/4 Inch Diameter NonSterile,"DRESSING, ADAPTIC DIGIT NON-ADH FNGR SM 3/4"" (10/CT 17CT/CS)",,,
4636,3M-Healthcare-US-Opco-LLC-2015,2015,3M Healthcare US Opco LLC,"DRESSING, ADAPTIC 3""X8"" (24/BX)                       SYSTGX",Oil Emulsion Impregnated Dressing 3M™ Adaptic™ Rectangle 3 X 8 Inch Sterile,"DRESSING, ADAPTIC 3""X8"" (24/BX)                       SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/4636_pkgfront.jpg,1194
554835,3M-Healthcare-US-Opco-LLC-800404,800404,3M Healthcare US Opco LLC,"DRESSING, SLVRCEL ANTIMIC ALGNN/WVN 41/2 (10/BX 5    SYSTGX",Silver Alginate Dressing Silvercel™ Antimicrobial 4-1/4 X 4-1/4 Inch Square Sterile,"DRESSING, SLVRCEL ANTIMIC ALGNN/WVN 41/2 (10/BX 5    SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/554835_front.jpg,102
368787,3M-Healthcare-US-Opco-LLC-2981,2981,3M Healthcare US Opco LLC,"DRESSING, FIBRACOL COLLAGEN 2""X2"" (12/BX)             SYSTGX",Collagen Dressing Fibracol™ Plus 2 X 2 Inch Square Sterile,"DRESSING, FIBRACOL COLLAGEN 2""X2"" (12/BX)             SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/368787_ppkgfront2.jpg,277
449317,3M-Healthcare-US-Opco-LLC-PG004,PG004,3M Healthcare US Opco LLC,"DRESSING, PROMOGRAN MATRIX WND(10/BX 4BX/CS)          SYSTGX",Collagen Dressing 3M™ Promogran™ Matrix 4 Square Inch Hexagon Sterile,"DRESSING, PROMOGRAN MATRIX WND(10/BX 4BX/CS)          SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/449317_ppkgleft.jpg,531
554288,3M-Healthcare-US-Opco-LLC-800112,800112,3M Healthcare US Opco LLC,"DRESSING, SLVRCEL ANTIMIC ALGISTR 1""X12"" (5/BX 5BX/CS)SYSTGX",Silver Alginate Dressing Silvercel™ Antimicrobial 1 X 12 Inch Rope Sterile,"DRESSING, SLVRCEL ANTIMIC ALGISTR 1""X12"" (5/BX 5BX/CS)SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/554288.jpg,42
368789,3M-Healthcare-US-Opco-LLC-2983,2983,3M Healthcare US Opco LLC,"DRESSING, FIBRACOL COLLAGEN 4""X8"" (6/BX)              SYSTGX",Collagen Dressing Fibracol™ Plus 4 X 8 Inch Rectangle Sterile,"DRESSING, FIBRACOL COLLAGEN 4""X8"" (6/BX)              SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/Systagenix_368789.jpg,52
704732,3M-Healthcare-US-Opco-LLC-81003,81003,3M Healthcare US Opco LLC,"GOWN, FLEX STD (30/CS)        ARIZAN",Patient Warming Gown 3M™ Bair Hugger™ Flex One Size Fits Most Blue Reusable,"GOWN, FLEX STD (30/CS)        ARIZAN",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/704732_pdet.jpg,5
1189328,3M-Healthcare-US-Opco-LLC-900112,900112,3M Healthcare US Opco LLC,"DRESSING, WND SILVERCEL ANTIM (5/CT 5CT/CS)",Silver Alginate Dressing Silvercel™ Non-Adherent 1 X 12 Inch Rope Sterile,"DRESSING, WND SILVERCEL ANTIM (5/CT 5CT/CS)",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/1189328_ppkgfront.jpg,68
449318,3M-Healthcare-US-Opco-LLC-PG019,PG019,3M Healthcare US Opco LLC,"DRESSING, PROMOGRAN MATRIX WND19.1"" (10/BX)          SYSTGX",Collagen Dressing 3M™ Promogran™ Matrix 19 Square Inch Hexagon Sterile,"DRESSING, PROMOGRAN MATRIX WND19.1"" (10/BX)          SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/449318_pdet.jpg,31
517796,3M-Healthcare-US-Opco-LLC-MA028,MA028,3M Healthcare US Opco LLC,"DRESSING, PRISMA MATRIX WND 4.34X4.34 (10/BX 4BX/CS)",Silver Collagen Dressing 3M™ Promogran Prisma™ Matrix 4-3/10 Square Inch Hexagon Sterile,"DRESSING, PRISMA MATRIX WND 4.34X4.34 (10/BX 4BX/CS)",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/517796_ppkgfront.jpg,1676
1189378,3M-Healthcare-US-Opco-LLC-MA032,MA032,3M Healthcare US Opco LLC,"DRESSING, PROMOGRAN PRISMA MATRIX 3/8""X3/8""X12 5/8"" (6/CT)",Silver Collagen Dressing 3M™ Promogran Prisma™ Matrix 3/8 X 3/8 X 12-5/8 Inch Rope Sterile,"DRESSING, PROMOGRAN PRISMA MATRIX 3/8""X3/8""X12 5/8"" (6/CT)",,,7
517797,3M-Healthcare-US-Opco-LLC-MA123,MA123,3M Healthcare US Opco LLC,"DRESSING, PRISMA MATRIX WND 19.1"" (10/BX 4BX/CS)      KINTIC",Silver Collagen Dressing 3M™ Promogran Prisma™ Matrix 19.1 Square Inch Hexagon Sterile,"DRESSING, PRISMA MATRIX WND 19.1"" (10/BX 4BX/CS)      KINTIC",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/517797_pkgleft.jpg,236
1191776,3M-Healthcare-US-Opco-LLC-2018,2018,3M Healthcare US Opco LLC,"DRESSING, ADAPTIC STR 3""X60"" (10/BX 12BX/CS)",Oil Emulsion Impregnated Dressing 3M™ Adaptic™ Roll 3 X 60 Inch Sterile,"DRESSING, ADAPTIC STR 3""X60"" (10/BX 12BX/CS)",,,
865329,3M-Healthcare-US-Opco-LLC-800408,800408,3M Healthcare US Opco LLC,"DRESSING, SLVRCEL ANTIMIC ALGISTR N/WOVN (5/BX 5BX/CS)",Silver Alginate Dressing Silvercel™ Antimicrobial 4 X 8 Inch Rectangle Sterile,"DRESSING, SLVRCEL ANTIMIC ALGISTR N/WOVN (5/BX 5BX/CS)",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/865329_ppkgfront.jpg,40
723808,3M-Healthcare-US-Opco-LLC-83003,83003,3M Healthcare US Opco LLC,"GOWN, BAIR PAWS FLEX W/BOOTIESSTD ADLT (30/CS)",Patient Warming Gown with Booties 3M™ Bair Hugger™ One Size Fits Most Blue Disposable,"GOWN, BAIR PAWS FLEX W/BOOTIESSTD ADLT (30/CS)",,,1
762382,3M-Healthcare-US-Opco-LLC-81203,81203,3M Healthcare US Opco LLC,"GOWN, FLEX BAIR PAW XLG ADLT (20/CS)                  ARIZAN",Patient Warming Gown 3M™ Bair Hugger™ Flex X-Large Blue Reusable,"GOWN, FLEX BAIR PAW XLG ADLT (20/CS)                  ARIZAN",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/762382.jpg,5
535941,3M-Healthcare-US-Opco-LLC-90009,90009,3M Healthcare US Opco LLC,"FILTER, F/MODEL 505           ARIZAN","Pre-op, or, PACU For Bair Hugger 500 Series Warming Units","FILTER, F/MODEL 505           ARIZAN",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/535941.jpg,5
712572,3M-Healthcare-US-Opco-LLC-84003,84003,3M Healthcare US Opco LLC,"GOWN KIT, FLEX STD ADLT (30/CS)                       3M",Patient Warming Gown Kit 3M™ Bair Hugger™ Flex One Size Fits Most Blue Reusable,"GOWN KIT, FLEX STD ADLT (30/CS)                       3M",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/712572.jpg,8
746628,3M-Healthcare-US-Opco-LLC-900202,900202,3M Healthcare US Opco LLC,"DRESSING, SILVERCEL ANTIM ALG (10/BX 5BX/CS) EC SYSTGX",Silver Alginate Dressing Silvercel™ Non-Adherent 2 X 2 Inch Square Sterile,"DRESSING, SILVERCEL ANTIM ALG (10/BX 5BX/CS) EC SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/746628_ppkgleft.jpg,194
979363,3M-Healthcare-US-Opco-LLC-90203,90203,3M Healthcare US Opco LLC,HOSE F/MODEL 505 BAIR HUGGER,Warming Unit Replacement Hose 3M™ Bair Hugger™,HOSE F/MODEL 505 BAIR HUGGER,,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/979363.jpg,8
987215,3M-Healthcare-US-Opco-LLC-90046,90046,3M Healthcare US Opco LLC,"HOSE, W/SENSOR ASSEMBLY 700SERIES BAIR HUGGER",Replacement Warming Unit Hose 3M™Bair Hugger™ 700,"HOSE, W/SENSOR ASSEMBLY 700SERIES BAIR HUGGER",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/987215.jpg,14
1103047,3M-Healthcare-US-Opco-LLC-90224,90224,3M Healthcare US Opco LLC,"CORD, POWER F/BAIR HUGGER 500/700 SERIES",3M™ Bair Hugger™ Replacment Power Cord,"CORD, POWER F/BAIR HUGGER 500/700 SERIES",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/1103047.jpg,5
368790,3M-Healthcare-US-Opco-LLC-2984,2984,3M Healthcare US Opco LLC,"DRESSING, FIBRACOL COLLAGEN 3/8""X55""                SYSTGX",Collagen Dressing Fibracol™ Plus 3/8 X 15-3/4 inch Rope Sterile,"DRESSING, FIBRACOL COLLAGEN 3/8""X55""                SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/368790.jpg,26
713618,3M-Healthcare-US-Opco-LLC-900404,900404,3M Healthcare US Opco LLC,"DRESSING, SILVERCEL ANTIM 4 1/2X4 1/2""(10/BX 5BX/C SYSTGX",Silver Alginate Dressing Silvercel™ Non-Adherent 4-1/2 X 4-1/2 Inch Square Sterile,"DRESSING, SILVERCEL ANTIM 4 1/2X4 1/2""(10/BX 5BX/C SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/713618_ppkgleft.jpg,395
740509,3M-Healthcare-US-Opco-LLC-81103,81103,3M Healthcare US Opco LLC,"GOWN, FLEX BAIR PAWS SM (20/CS) ARIZAN",Patient Warming Gown 3M™ Bair Hugger™ Flex Large Blue Reusable,"GOWN, FLEX BAIR PAWS SM (20/CS) ARIZAN",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/740509.jpg,
987216,3M-Healthcare-US-Opco-LLC-90047,90047,3M Healthcare US Opco LLC,"FILTER, 0.2UM HI EFFICIENCY 700SERIES BAIR HUGGER",Filter 3M™Bair Hugger™ 700,"FILTER, 0.2UM HI EFFICIENCY 700SERIES BAIR HUGGER",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/987216.jpg,18
1106336,3M-Healthcare-US-Opco-LLC-22110,22110,3M Healthcare US Opco LLC,"BAIR HUGGER, PATIENT WARMING TEST KIT (1/CS)",Warming Test Kit 3M™ Bair Hugger™ For Bair Hugger™ Heating Unit,"BAIR HUGGER, PATIENT WARMING TEST KIT (1/CS)",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/1106336.jpg,1
706653,3M-Healthcare-US-Opco-LLC-900408,900408,3M Healthcare US Opco LLC,"DRESSING, SILVERCEL ANTIM 4X8 (25/CS) SYSTGX",Silver Alginate Dressing Silvercel™ Non-Adherent 4 X 8 Inch Rectangle Sterile,"DRESSING, SILVERCEL ANTIM 4X8 (25/CS) SYSTGX",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/SYSTGX_706653.jpg,23
1236590,3M-Healthcare-US-Opco-LLC-90063,90063,3M Healthcare US Opco LLC,"CLIP, SHEET 700SERIES BAIR HUGGER",Sheet Clip Bair Hugger™,"CLIP, SHEET 700SERIES BAIR HUGGER",,,1
1048652,3M-Healthcare-US-Opco-LLC-90060,90060,3M Healthcare US Opco LLC,"FILTER, BLANKET WARMER BAIR PAW 850/875 (10/CS)",Dust Filter For Bair Hugger™ Heating Unit,"FILTER, BLANKET WARMER BAIR PAW 850/875 (10/CS)",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/1048652.jpg,2
764747,3M-Healthcare-US-Opco-LLC-84203,84203,3M Healthcare US Opco LLC,"GOWN, BAIR PAWS FLEX XLG (20/CS)                      ARIZAN",Patient Warming Gown Kit 3M™ Bair Hugger™ Flex X-Large Blue Reusable,"GOWN, BAIR PAWS FLEX XLG (20/CS)                      ARIZAN",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/764747.jpg,
1052361,3M-Healthcare-US-Opco-LLC-90094,90094,3M Healthcare US Opco LLC,"HANDLE, F/ROLLING CART 775",Rolling Cart Handle For Bair Hugger Model 775 Warming Unit,"HANDLE, F/ROLLING CART 775",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/1052361.jpg,2
525696,3M-Healthcare-US-Opco-LLC-81001,81001,3M Healthcare US Opco LLC,"GOWN, OR UNISEX ADLT (30/CS)  ARIZAN",Patient Warming Gown 3M™ Bair Hugger™ One Size Fits Most Blue Reusable,"GOWN, OR UNISEX ADLT (30/CS)  ARIZAN",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/525696_front.jpg,29
1079519,3M-Healthcare-US-Opco-LLC-90090,90090,3M Healthcare US Opco LLC,"CART, F/BAIR HUGGER BLANKET WARMER MOBILE 700 SERIES",Warming Unit Rolling Cart 3M™ Bair Hugger™ For 700 Series Warming Unit,"CART, F/BAIR HUGGER BLANKET WARMER MOBILE 700 SERIES",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/1079519.jpg,21
1137630,3M-Healthcare-US-Opco-LLC-96753,96753,3M Healthcare US Opco LLC,"FILTER, AIR PATIENT WARMER BAIR HUGGER 675",3M™ Bair Hugger™ Replacement Filter,"FILTER, AIR PATIENT WARMER BAIR HUGGER 675",,,4
527966,3M-Healthcare-US-Opco-LLC-84201,84201,3M Healthcare US Opco LLC,"GOWN KIT, OR BAIR PAWS XLG ADLT (20/CS)               ARIZAN",Patient Warming Gown Kit 3M™ Bair Hugger™ X-Large Blue Reusable,"GOWN KIT, OR BAIR PAWS XLG ADLT (20/CS)               ARIZAN",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/527966.jpg,
679400,3M-Healthcare-US-Opco-LLC-81002,81002,3M Healthcare US Opco LLC,"GOWN, BAIR PAWS STD (30/CS)   ARIZAN",Patient Warming Gown 3M™ Bair Hugger™ Plus One Size Fits Most Blue Reusable,"GOWN, BAIR PAWS STD (30/CS)   ARIZAN",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/679400.jpg,13
865022,3M-Healthcare-US-Opco-LLC-36000,36000,3M Healthcare US Opco LLC,"SENSOR, SPOTON PT MODEL 36000 (25/CS)",Sensor 3600 SPOTON™ 1.6 Inch Diameter Patient Monitor,"SENSOR, SPOTON PT MODEL 36000 (25/CS)",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/865022.jpg,3
527964,3M-Healthcare-US-Opco-LLC-84001,84001,3M Healthcare US Opco LLC,"GOWN KIT, OR BAIR PAWS STD ADLT (30/CS)               ARIZAN",Patient Warming Gown Kit 3M™ Bair Hugger™ One Size Fits Most Blue Reusable,"GOWN KIT, OR BAIR PAWS STD ADLT (30/CS)               ARIZAN",,https://imgcdn.mckesson.com/CumulusWeb/Images/Original_Image/527964.jpg,12
